dataset,subject,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.5,,,,0.913653813487345,0.5416995073891626,0.3746114398965716,0.404292295906156,22,11.0
BNCI2014-001,3,riemann_lr,clean,all_channels,0.0,,,,0.9966196704603363,0.9757389162561576,0.02762215038083212,0.08266645658936791,22,0.0
BNCI2014-001,3,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.998263888888889,0.9652777777777778,0.048904811138849556,0.12485949862082137,22,0.0
BNCI2014-001,3,riemann_lr,reduced_montage,motor_core,0.0,,,,0.973883132325463,0.9064039408866995,0.07212515926932102,0.11883351144423757,3,0.0
BNCI2014-001,3,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.9922880924069984,0.9651477832512315,0.03880254865566497,0.0979461164776086,9,0.0
BNCI2014-001,3,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.9946832002717854,0.808743842364532,0.11799481359067432,0.20512622728644686,22,3.0
BNCI2014-001,3,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.8655087480890098,0.5,0.4998173250871994,0.4998960855995528,22,7.0
BNCI2014-001,3,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.8988958722609139,0.5,0.49993475725773634,0.4999637841817971,22,7.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.1,,,,0.8521182266009852,0.5440886699507389,0.39037857204301757,0.4025509294293017,22,2.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.2,,,,0.8169712926787838,0.5266871921182266,0.4052715433571618,0.4083587919971491,22,4.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.3,,,,0.7390300662476643,0.5165886699507389,0.4391315962276074,0.4309489814161756,22,7.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.5,,,,0.6923399014778324,0.5104679802955665,0.43331061192150455,0.4186195742462403,22,11.0
BNCI2014-001,4,riemann_lr,clean,all_channels,0.0,,,,0.889001189060642,0.8056650246305418,0.1411565922833931,0.12072949899846894,22,0.0
BNCI2014-001,4,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.8840663580246914,0.7777777777777778,0.16200369322551544,0.12242371352386718,22,0.0
BNCI2014-001,4,riemann_lr,reduced_montage,motor_core,0.0,,,,0.7523016816714796,0.6871921182266011,0.2089945884347019,0.1351654970849409,3,0.0
