dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,protocol_version,mask_seed_scope,selected_channels,region,dropped_channels,session_train,session_test,run_signature
BNCI2014-001,1,csp_lda,clean,all_channels,3,0.0,0,22,0,0.8620689655172413,0.9274673008323425,0.10842708336999589,0.09739265979083962,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,0,22,2,0.5,0.7300832342449466,0.49999997296805676,0.4999999847202795,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,1,22,2,0.5,0.8846611177170035,0.4989356157977793,0.4994154972858764,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,2,22,2,0.7931034482758621,0.9274673008323424,0.12360063772215168,0.14745370438163022,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,3,22,2,0.5,0.7526753864447087,0.4998350796601995,0.49990395373037605,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,4,22,2,0.6379310344827587,0.9001189060642092,0.29172002607708797,0.339990229534331,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,5,22,2,0.5,0.6682520808561236,0.49763567287611116,0.4981753537480561,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,6,22,2,0.6551724137931034,0.7847800237812128,0.27920792227213587,0.29159702495511386,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,7,22,2,0.603448275862069,0.8596908442330559,0.2555750068757437,0.28501505727932164,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,8,22,2,0.5,0.8941736028537455,0.44061263340382656,0.46367773325009287,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,3,0.1,9,22,2,0.7758620689655172,0.9001189060642093,0.1595419816624718,0.17892837586617077,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
