subject,condition,roc_auc_csp,roc_auc_riemann,clean_auc_csp,clean_auc_riemann,change_csp,change_riemann,difference_in_degradation_csp_minus_riemann
19,dropout_0.5,0.4529999999999999,0.522,0.5,0.58,-0.0470000000000001,-0.05799999999999994,0.010999999999999843
19,motor_core,0.8300000000000001,0.78,0.5,0.58,0.33000000000000007,0.20000000000000007,0.13
19,motor_extended,0.77,0.76,0.5,0.58,0.27,0.18000000000000005,0.08999999999999997
19,region_midline_motor_strip,0.55,0.55,0.5,0.58,0.050000000000000044,-0.029999999999999916,0.07999999999999996
19,region_left_motor_strip,0.47,0.55,0.5,0.58,-0.030000000000000027,-0.029999999999999916,-1.1102230246251565e-16
19,region_right_motor_strip,0.6,0.4699999999999999,0.5,0.58,0.09999999999999998,-0.11000000000000004,0.21000000000000002
20,dropout_0.1,0.58,0.667,0.64,0.7100000000000001,-0.06000000000000005,-0.04300000000000004,-0.017000000000000015
20,dropout_0.2,0.56,0.66,0.64,0.7100000000000001,-0.07999999999999996,-0.050000000000000044,-0.029999999999999916
20,dropout_0.3,0.488,0.5870000000000001,0.64,0.7100000000000001,-0.15200000000000002,-0.123,-0.029000000000000026
20,dropout_0.5,0.467,0.56,0.64,0.7100000000000001,-0.173,-0.15000000000000002,-0.022999999999999965
20,motor_core,0.42,0.43,0.64,0.7100000000000001,-0.22000000000000003,-0.2800000000000001,0.06000000000000005
20,motor_extended,0.2,0.2799999999999999,0.64,0.7100000000000001,-0.44,-0.43000000000000016,-0.009999999999999842
20,region_midline_motor_strip,0.5700000000000001,0.72,0.64,0.7100000000000001,-0.06999999999999995,0.009999999999999898,-0.07999999999999985
20,region_left_motor_strip,0.6300000000000001,0.79,0.64,0.7100000000000001,-0.009999999999999898,0.07999999999999996,-0.08999999999999986
20,region_right_motor_strip,0.6900000000000001,0.82,0.64,0.7100000000000001,0.050000000000000044,0.10999999999999988,-0.05999999999999983
21,dropout_0.1,0.5295000000000001,0.4669999999999999,0.72,0.5199999999999999,-0.1904999999999999,-0.05299999999999999,-0.1374999999999999
21,dropout_0.2,0.5479999999999999,0.44,0.72,0.5199999999999999,-0.17200000000000004,-0.0799999999999999,-0.09200000000000014
21,dropout_0.3,0.524,0.444,0.72,0.5199999999999999,-0.19599999999999995,-0.0759999999999999,-0.12000000000000005
21,dropout_0.5,0.503,0.44,0.72,0.5199999999999999,-0.21699999999999997,-0.0799999999999999,-0.13700000000000007
21,motor_core,0.67,0.74,0.72,0.5199999999999999,-0.04999999999999993,0.22000000000000008,-0.27
21,motor_extended,0.74,0.71,0.72,0.5199999999999999,0.020000000000000018,0.19000000000000006,-0.17000000000000004
21,region_midline_motor_strip,0.57,0.48,0.72,0.5199999999999999,-0.15000000000000002,-0.039999999999999925,-0.1100000000000001
21,region_left_motor_strip,0.4899999999999999,0.57,0.72,0.5199999999999999,-0.2300000000000001,0.050000000000000044,-0.28000000000000014
21,region_right_motor_strip,0.675,0.43,0.72,0.5199999999999999,-0.04499999999999993,-0.08999999999999991,0.044999999999999984
22,dropout_0.1,0.6,0.897,0.8099999999999999,0.92,-0.20999999999999996,-0.02300000000000002,-0.18699999999999994
22,dropout_0.2,0.502,0.846,0.8099999999999999,0.92,-0.30799999999999994,-0.07400000000000007,-0.23399999999999987
22,dropout_0.3,0.519,0.797,0.8099999999999999,0.92,-0.2909999999999999,-0.123,-0.16799999999999993
22,dropout_0.5,0.4825,0.679,0.8099999999999999,0.92,-0.32749999999999996,-0.241,-0.08649999999999997
22,motor_core,0.6100000000000001,0.63,0.8099999999999999,0.92,-0.19999999999999984,-0.29000000000000004,0.09000000000000019
22,motor_extended,0.6100000000000001,0.5599999999999999,0.8099999999999999,0.92,-0.19999999999999984,-0.3600000000000001,0.16000000000000025
22,region_midline_motor_strip,0.64,0.94,0.8099999999999999,0.92,-0.16999999999999993,0.019999999999999907,-0.18999999999999984
22,region_left_motor_strip,0.8099999999999999,0.92,0.8099999999999999,0.92,0.0,0.0,0.0
22,region_right_motor_strip,0.58,0.91,0.8099999999999999,0.92,-0.22999999999999998,-0.010000000000000009,-0.21999999999999997
23,dropout_0.1,0.544,0.5760000000000001,0.5900000000000001,0.58,-0.04600000000000004,-0.0039999999999998925,-0.04200000000000015
23,dropout_0.2,0.574,0.587,0.5900000000000001,0.58,-0.016000000000000125,0.007000000000000006,-0.02300000000000013
23,dropout_0.3,0.5365,0.581,0.5900000000000001,0.58,-0.0535000000000001,0.0010000000000000009,-0.054500000000000104
23,dropout_0.5,0.514,0.596,0.5900000000000001,0.58,-0.07600000000000007,0.016000000000000014,-0.09200000000000008
23,motor_core,0.54,0.6,0.5900000000000001,0.58,-0.050000000000000044,0.020000000000000018,-0.07000000000000006
23,motor_extended,0.74,0.8099999999999999,0.5900000000000001,0.58,0.1499999999999999,0.22999999999999998,-0.08000000000000007
